"AF","TI","SO","AB","PY","Index"
"Gill, Dipender; Monori, Grace; Georgakis, Marios K.; Tzoulaki, Ioanna; Laffan, Mike","Genetically Determined Platelet Count and Risk of Cardiovascular Disease: Mendelian Randomization Study","ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY","Objective Cardiovascular disease, including coronary artery disease (CAD) and ischemic stroke, is the leading cause of death worldwide. This Mendelian randomization study uses genetic variants as instruments to investigate whether there is a causal effect of genetically determined platelet count on CAD and ischemic stroke risk. Approach and Results A genome-wide association study of 166066 subjects was used to identify instruments and genetic association estimates for platelet count. Genetic association estimates for CAD and ischemic stroke were obtained from genome-wide association studies, including 60801 CAD cases and 123504 controls, and 60341 ischemic stroke cases and 454450 controls, respectively. The inverse-variance weighted meta-analysis of ratio method Mendelian randomization estimates was the main method used to obtain estimates for the causal effect of genetically determined platelet count on risk of cardiovascular outcomes. We found no significant Mendelian randomization effect of genetically determined platelet count on risk of CAD (odds ratio of CAD per SD unit increase in genetically determined platelet count, 1.01; 95% CI, 0.98-1.04; P=0.60). However, higher genetically determined platelet count was causally associated with an increased risk of ischemic stroke (odds ratio, 1.07; 95% CI, 1.04-1.11; P<1x10(-5)), including all major ischemic stroke subtypes. Similar results were obtained in sensitivity analyses more robust to the inclusion of pleiotropic genetic variants. Conclusions This Mendelian randomization study found evidence that higher genetically determined platelet count is causally associated with higher risk of ischemic stroke.",2018,6
"Wade, Kaitlin H.; Chiesa, Scott T.; Hughes, Alun D.; Chaturvedi, Nish; Charakida, Marietta; Rapala, Alicja; Muthurangu, Vivek; Khan, Tauseef; Finer, Nicholas; Sattar, Naveed; Howe, Laura D.; Fraser, Abigail; Lawlor, Debbie A.; Smith, George Davey; Deanfield, John E.; Timpson, Nicholas J.","Assessing the Causal Role of Body Mass Index on Cardiovascular Health in Young Adults Mendelian Randomization and Recall-by-Genotype Analyses","CIRCULATION","BACKGROUND: Body mass index (BMI) has been suggested to be causally related to cardiovascular health in mid-to-late life, but this has not been explored systematically at younger ages-nor with detailed cardiovascular phenotyping. Recall-by-Genotype (RbG) is an approach that enables the collection of precise phenotypic measures in smaller studies, while maintaining statistical power and ability for causal inference. METHODS: In this study, we used a combination of conventional multivariable regression analysis, Mendelian randomization (MR), and subsample RbG methodologies to estimate the causal effect of BMI on gross-level and detailed cardiovascular health in healthy participants from the Avon Longitudinal Study of Parents and Children at age 17 years (N=1420-3108 for different outcomes) and an independent sample from the same cohort (for RbG) study at age 21 years (N=386-418). RESULTS: In both MR and RbG analyses, results suggested that higher BMI causes higher blood pressure and left ventricular mass index in young adults (eg, difference in left ventricular mass index per 1 kg/m(2) using MR: 1.07 g/m(2.7); 95% CI, 0.62-1.52; P=3.87x10(-06) and per 3.58 kg/m(2) using RbG: 1.65 g/m(2.7); 95% CI, 0.83-2.47; P=0.0001). Additionally, RbG results suggested a causal role of higher BMI on higher stroke volume (difference per 3.58 kg/m(2): 1.49 mL/m(2.04); 95% CI, 0.62-2.35; P=0.001) and cardiac output (difference per 3.58 kg/m(2): 0.11 L.min(-1).m(-1.83); 95% CI, 0.03-0.19; P=0.01) but no strong evidence for a causal role on systemic vascular resistance or total arterial compliance. Neither analysis supported a causal role of higher BMI on heart rate. CONCLUSIONS: Complementary MR and RbG causal methodologies, together with a range of sensitivity analyses, suggest that higher BMI is likely to cause worse cardiovascular health, specifically higher blood pressure and left ventricular mass index, even in youth. Higher BMI also resulted in increased cardiac output in the RbG study, which appeared to be solely driven by stroke volume, as neither MR nor RbG analyses suggested a causal effect of BMI on heart rate. These consistent results support efforts to reduce BMI from a young age to prevent later adverse cardiovascular health and illustrate the potential for phenotypic resolution with maintained analytic power using RbG.",2018,6
"Schooling, C. M.; Luo, S.; Johnson, G.","ADAMTS-13 activity and ischemic heart disease: a Mendelian randomization study","JOURNAL OF THROMBOSIS AND HAEMOSTASIS","Background. Despite great progress in the prevention and control of cardiovascular disease, it remains the leading cause of global mortality and morbidity, with new unexpected risk factors emerging and few effective new pharmaceutical treatments. ADAMTS-13 is involved in a clotting disorder, thrombotic thrombocytopenic purpura, for which new treatments are being developed. Observationally, ADAMTS-13 activity is inversely associated with ischemic heart disease (IHD) but positively associated with diabetes. Objectives: To obtain unconfounded estimates of the effect of ADAMTS-13 on IHD, diabetes and lipids. Methods: We applied genetic variants strongly, (P < 5 x 10(-8)), solely and independently associated with ADAMTS-13 to the largest available extensively geno-typed case-control studies of IHD and diabetes and to a large study of lipids to obtain Mendelian randomization inverse variance weighted (IVW) estimates. Sensitivity was evaluated through weighted median and MR-Egger estimates. Results: Genetically predicted ADAMTS-13 activity, based on three genetic variants, was consistently inversely associated with IHD (IVW odds ratio [OR] 0.91 per effect size; 95% confidence interval [CI] 0.86-0.97) but not with diabetes (OR 0.94, 95% CI 0.88-1.01) or high or low-density lipoprotein cholesterol (0.01, 95% CI -0.02 to 0.04; -0.01, 95% CI -0.04 to 0.02, respectively). ADAMTS-13 antigen, based on four genetic variants, was not associated with any outcome. Conclusions: This genetic validation of ADAMTS-13 activity as a target of intervention in IHD raises the possibility of new ways of prevention and treatment being developed by repurposing therapeutics that raise ADAMTS-13 activity, or by other environmental or dietary interventions that raise ADAMTS-13 activity.",2018,6
"Gill, Dipender; Georgakis, Marios K.; Laffan, Mike; Sabater-Lleal, Maria; Malik, Rainer; Tzoulaki, Ioanna; Veltkamp, Roland; Dehghan, Abbas","Genetically Determined FXI (Factor XI) Levels and Risk of Stroke","STROKE","Background and Purpose FXI (factor XI) is involved in thrombus propagation and stabilization. It is unknown whether lower FXI levels have a protective effect on risk of ischemic stroke (IS) or myocardial infarction. This study investigated the effect of genetically determined FXI levels on risk of IS, myocardial infarction, and intracerebral hemorrhage. Methods Two-sample Mendelian randomization analysis was performed. Instruments and genetic association estimates for FXI levels were obtained from a genome-wide association study of 16 169 individuals. Genetic association estimates for IS and its etiological subtypes were obtained from a study of 16 851 cases and 32 473 controls. For myocardial infarction, estimates were obtained from a study of 43 676 cases and 123 504 controls and for intracerebral hemorrhage from a study of 1545 cases and 1481 controls. Results After applying a Bonferroni correction for multiple testing, the Mendelian randomization analysis supported a causal effect of higher, genetically determined FXI levels on risk of any IS (odds ratio [OR] per 1-unit increase in natural logarithm-transformed FXI levels, 2.54; 95% CI, 1.68-3.84; P=1x10(-5)) but not myocardial infarction (OR, 1.01; 95% CI, 0.76-1.34; P=0.94) or intracerebral hemorrhage (OR, 1.81; 95% CI, 0.44-7.38; P=0.41). Examining IS subtypes, the main results supported an effect of higher, genetically determined FXI levels on risk of cardioembolism (OR, 4.23; 95% CI, 1.94-9.19; P=3x10(-4)) and IS of undetermined cause (OR, 3.44; 95% CI, 1.79-6.60; P=2x10(-4)) but not large artery atherosclerosis (OR, 2.73; 95% CI, 1.15-6.45; P=0.02) or small artery occlusion (OR, 1.19; 95% CI, 0.50-2.82; P=0.69). However, the statistically significant result for IS of undetermined cause was not replicated in all sensitivity analyses. Conclusions We find Mendelian randomization evidence supporting FXI as a possible target to reduce risk of the cardioembolic subtype of IS.",2018,6
"Yeung, Shiu Lun Au; Schooling, C. Mary","Adiponectin and coronary artery disease risk: A bi-directional Mendelian randomization study","INTERNATIONAL JOURNAL OF CARDIOLOGY","Background: Observational studies have found adiponectin inversely associated with cardiovascular disease thereby indicating a potential target of intervention, but genetically higher adiponectin appears unrelated to coronary artery disease (CAD). To clarify, we examined the role of genetically predicted adiponectin in CAD in a larger study and additionally examined the role of genetically predicted CAD in adiponectin using a bi-directional Mendelian randomization study. Methods: We obtained estimates using inverse variance weighting (IVW) with multiplicative random effects, based on 21 single nucleotide polymorphism (SNPs) to predict adiponectin and 28 SNPs for CAD, using two large genome wide association studies of adiponectin (ADIPOGen Consortium (n=39,883)) and CAD CARDIoGRAMplusC4D 1000 Genomes based GWAS (n=60,801 CAD cases; n=123,504 controls). Sensitivity analyses included using MR-Egger, weighted median method, and exclusion of potentially invalid (pleiotropic) SNPs. Results: Adiponectin was inversely associated with CAD (odds ratio 0.82 per unit increase log transformed adiponectin, 95% confidence interval (CI) 0.71 to 0.94) using IVW. However, the association was null using a weighted median method or MR-Egger, or after exclusion of pleiotropic SNPs acting on obesity related traits. CAD was not associated with adiponectin (-0.011 log transformed adiponectin unit per log odds CAD, 95% CI -0.039 to 0.017), with similar findings from MR-Egger, weighted median method or exclusion of pleiotropic SNPs. Conclusion: Adiponectin is unlikely a cause of CAD although we cannot completely rule out the possibility. Previous observational studies are likely driven by factors driving both adiponectin and CAD, whose elucidation might provide new insights concerning interventions for CAD. (C) 2018 Elsevier B.V. All rights reserved.",2018,6
"Wootton, Robyn E.; Lawn, Rebecca B.; Millard, Louise A. C.; Davies, Neil M.; Taylor, Amy E.; Munafo, Marcus R.; Timpson, Nicholas J.; Davis, Oliver S. P.; Smith, George Davey; Haworth, Claire M. A.","Evaluation of the causal effects between subjective wellbeing and cardiometabolic health: mendelian randomisation study","BMJ-BRITISH MEDICAL JOURNAL","OBJECTIVE To investigate whether the association between subjective wellbeing (subjective happiness and life satisfaction) and cardiometabolic health is causal. DESIGN Two sample, bidirectional mendelian randomisation study. SETTING Genetic data taken from various cohorts comprised of the general population (mostly individuals of European ancestry, plus a small proportion of other ancestries); follow-up analysis included individuals from the United Kingdom. PARTICIPANTS Summary data were used from previous genome wide association studies (number of participants ranging from 83 198 to 339 224), which investigated traits related to cardiovascular or metabolic health, had the largest sample sizes, and consisted of the most similar populations while minimising sample overlap. A follow-up analysis included 337112 individuals from the UK Biobank (54% female (n=181363), mean age 56.87 years (standard deviation 8.00) at recruitment). MAIN OUTCOME MEASURES Subjective wellbeing and 11 measures of cardiometabolic health (coronary artery disease; myocardial infarction; total, high density lipoprotein, and low density lipoprotein cholesterol; diastolic and systolic blood pressure; body fat; waist to hip ratio; waist circumference; and body mass index). RESULTS Evidence of a causal effect of body mass index on subjective wellbeing was seen; each 1 kg/m(2) increase in body mass index caused a -0.045 (95% confidence interval -0.084 to -0.006, P=0.02) standard deviation reduction in subjective wellbeing. Follow-up analysis of this association in an independent sample from the UK Biobank provided strong evidence of an effect of body mass index on satisfaction with health (beta=-0.035 unit decrease in health satisfaction (95% confidence interval -0.043 to -0.027) per standard deviation increase in body mass index, P<0.001). No clear evidence of a causal effect was seen between subjective wellbeing and the other cardiometabolic health measures, in either direction. CONCLUSIONS These results suggest that a higher body mass index is associated with a lower subjective wellbeing. A follow-up analysis confirmed this finding, suggesting that the effect in middle aged people could be driven by satisfaction with health. Body mass index is a modifiable determinant, and therefore, this study provides further motivation to tackle the obesity epidemic because of the knock-on effects of higher body mass index on subjective wellbeing.",2018,6
"Schooling, C. Mary; Luo, Shan; Yeung, Shiu Lun Au; Thompson, Deborah J.; Karthikeyan, Savita; Bolton, Thomas R.; Mason, Amy M.; Ingelsson, Erik; Burgess, Stephen","Genetic predictors of testosterone and their associations with cardiovascular disease and risk factors: A Mendelian randomization investigation","INTERNATIONAL JOURNAL OF CARDIOLOGY","Background: Testosterone supplementation has been linked to increased cardiovascular disease risk in some observational studies. The causal role of testosterone can be investigated using a Mendelian randomization approach. Methods and results: We assessed genetic associations of variants in two gene regions (SHBG and JMJD1C) with several cardiovascular risk factors (lipids, adiponectin, blood pressure, anthropometric traits) plus male pattern baldness, including control outcomes and potential mediators. We assessed genetic associations with coronary artery disease (CAD) risk in the CARDIoGRAMplusC4D consortium (171,191 individuals including 60,801 cases), and associations with CAD and ischaemic stroke risk in the UK Biobank (367,643 individuals including 25,352 CAD cases and 3650 ischaemic stroke cases). Genetic predictors of increased serum testosterone were associated with lipids, blood pressure, and height. There was some evidence of an association with risk of CAD (SHBG gene region: odds ratio (OR) 0.95 per 1 unit increase in log-transformed testosterone [95% confidence interval: 0.81-1.12, p = 0.55]; JMJD1C gene region: OR 1.24 [1.01-1.51, p = 0.04]) and ischaemic stroke both overall (SHBG: OR 1.05 [0.64, 1.73, p = 0.83]; JMJD1C: OR 2.52 [1.33, 4.77, p = 0.005]) and in men. However, associations with some control outcomes were in the opposite direction to that expected. Conclusions: Sex hormone-related mechanisms appear to be relevant to cardiovascular risk factors and for stroke (particularly for men). However, the extent that these findings are specifically informative about endogenous testosterone or testosterone supplementation is unclear. These findings underline a fundamental limitation for the use of Mendelian randomization where biological knowledge about the function of genetic variants is uncertain. (C) 2018 The Authors. Published by Elsevier B.V.",2018,6
"Yeung, Shiu Lun Au; Luo, Shan; Schooling, C. Mary","The Impact of Glycated Hemoglobin (HbA(1c)) on Cardiovascular Disease Risk: A Mendelian Randomization Study Using UK Biobank","DIABETES CARE","OBJECTIVEGlycated hemoglobin (HbA(1c)) is positively associated with cardiovascular disease (CVD), although evidence is primarily observational. Mendelian randomization studies have only examined its relation with subtypes of CVD. We examined the relation of HbA(1c) with CVD and its subtypes in the UK Biobank using Mendelian randomization.RESEARCH DESIGN AND METHODSWe used 38 genetic variants strongly and independently related to HbA(1c) (n = 123,665) applied to the UK Biobank (n = 392,038). We used inverse variance weighting (IVW) to obtain the associations of HbA(1c) with CVD, coronary artery disease (CAD), and stroke (overall and stroke subtypes). Sensitivity analyses included Mendelian randomization (MR)-Egger, a weighted median, and exclusion of potentially invalid single nucleotide polymorphisms (SNPs). We also applied the same genetic instruments to CARDIoGRAMplusC4D (Coronary ARtery DIsease Genome wide Replication and Meta-analysis [CARDIoGRAM] plus The Coronary Artery Disease [C4D] Genetics) 1000 Genomes-based genome-wide association study (n = 184,305) as a validation for CAD.RESULTSIn the UK Biobank, HbA(1c) was not associated with CVD using IVW (odds ratio [OR] 1.11 per %, 95% CI 0.83-1.48). However, HbA(1c) was associated with increased CAD risk (OR 1.50 per %, 95% CI 1.08-2.11) with directionally consistent results from MR-Egger and weighted median. The positive association with CAD was more pronounced when we excluded potentially invalid SNPs (OR 2.24 per %, 95% CI 1.55-3.25). The positive association was replicated in CARDIoGRAM (OR 1.52 per %, 95% CI 1.03-2.26). The association of HbA(1c) with stroke and its subtypes was less clear given the low number of cases.CONCLUSIONSHbA(1c) likely causes CAD. The underlying mechanisms remain to be elucidated.",2018,6
"Kodali, Hanish P.; Pavilonis, Brian T.; Schooling, C. Mary","Effects of copper and zinc on ischemic heart disease and myocardial infarction: a Mendelian randomization study","AMERICAN JOURNAL OF CLINICAL NUTRITION","Background: Despite great progress in prevention and control, ischemic heart disease (IHD) remains a leading cause of global morbidity and mortality. Diet plays a key role in IHD, but a comprehensive delineation of the role of dietary factors in IHD is not yet quite complete. Objective: The aim of this study was to test the long-standing hypothesis that copper is protective and zinc harmful in IHD. Design: We used separate-sample instrumental variable analysis with genetic instruments (Mendelian randomization). We obtained single nucleotide polymorphisms (SNPs) from a genome wide association study, strongly (P value < 5 x 10(-8)) and independently associated with erythrocyte copper and zinc. We applied these genetic predictors of copper and zinc to the largest, most extensively genotyped IHD case (n <= 76014)-control (n <= 264785) study, based largely on CARDIoGRAMplusC4D 1000 Genomes and the UK Biobank SOFT CAD, to obtain SNP-specific Wald estimates for the effects of copper and zinc on IHD, which were combined through the use of inverse variance weighting. Sensitivity analysis included use of the MR-Egger method, and reanalysis including SNPs independently associated with erythrocyte copper and zinc at P value < 5 x 10(-6). Results: Genetically instrumented copper was negatively associated with IHD (OR: 0.94; 95% CI: 0.90, 0.98). Genetically instrumented zinc was positively associated with IHD (OR: 1.06; 95% CI: 1.02, 1.11). Sensitivity analysis via MR-Egger gave no indication of unknown pleiotropy; less strongly associated SNPs gave similar results for copper. Conclusion: Genetic validation of a long-standing hypothesis suggests that further investigation of the effects, particularly of copper, on IHD may provide a practical means of reducing the leading cause of mortality and morbidity.",2018,6
"Li, Xue; Meng, Xiangrui; Spiliopoulou, Athina; Timofeeva, Maria; Wei, Wei-Qi; Gifford, Aliya; Shen, Xia; He, Yazhou; Varley, Tim; McKeigue, Paul; Tzoulaki, Ioanna; Wright, Alan F.; Joshi, Peter; Denny, Joshua C.; Campbell, Harry; Theodoratou, Evropi","MR-PheWAS: exploring the causal effect of SUA level on multiple disease outcomes by using genetic instruments in UK Biobank","ANNALS OF THE RHEUMATIC DISEASES","Objectives We aimed to investigate the role of serum uric acid (SUA) level in a broad spectrum of disease outcomes using data for 120 091 individuals from UK Biobank. Methods We performed a phenome-wide association study (PheWAS) to identify disease outcomes associated with SUA genetic risk loci. We then implemented conventional Mendelianrandomisation (MR) analysis to investigate the causal relevance between SUA level and disease outcomes identified from PheWAS. We next applied MR Egger analysis to detect and account for potential pleiotropy, which conventional MR analysis might mistake for causality, and used the HEIDI (heterogeneity in dependent instruments) test to remove cross-phenotype associations that were likely due to genetic linkage. Results Our PheWAS identified 25 disease groups/outcomes associated with SUA genetic risk loci after multiple testing correction (P<8.57e-05). Our conventional MR analysis implicated a causal role of SUA level in three disease groups: inflammatory polyarthropathies (OR=1.22, 95% CI 1.11 to 1.34), hypertensive disease (OR=1.08, 95% CI 1.03 to 1.14) and disorders of metabolism (OR=1.07, 95% CI 1.01 to 1.14); and four disease outcomes: gout (OR=4.88, 95% CI 3.91 to 6.09), essential hypertension (OR=1.08, 95% CI 1.03 to 1.14), myocardial infarction (OR=1.16, 95% CI 1.03 to 1.30) and coeliac disease (OR=1.41, 95% CI 1.05 to 1.89). After balancing pleiotropic effects in MR Egger analysis, only gout and its encompassing disease group of inflammatory polyarthropathies were considered to be causally associated with SUA level. Our analysis highlighted a locus (ATXN2/S2HB3) that may influence SUA level and multiple cardiovascular and autoimmune diseases via pleiotropy. Conclusions Elevated SUA level is convincing to cause gout and inflammatory polyarthropathies, and might act as a marker for the wider range of diseases with which it associates. Our findings support further investigation on the clinical relevance of SUA level with cardiovascular, metabolic, autoimmune and respiratory diseases.",2018,6
"Lee, Mee-Ri; Lim, Youn-Hee; Hong, Yun-Chul","Causal association of body mass index with hypertension using a Mendelian randomization design","MEDICINE","Observational studies have shown that obesity is a major risk factor for hypertension, but unmeasured confounding factors may exist. We used Mendelian randomization (MR) to assess the causal effect of obesity on hypertension.The MR analysis was performed in a well-defined community cohort study of 8832 middle-aged (40-69 years) adults in Korea enrolled from 2001 to 2013. We used baseline hypertension and newly diagnosed hypertension during the 10-year follow-up period as the outcome variable. Genetic risk score associated with body mass index (BMI GRS) was used as the instrumental variable (IV) to measure the causal relationship between obesity and hypertension. The IV estimate of causal odds ratio (OR) was derived using the Wald ratio estimator and then exponentiation to express the result as an OR.In the multivariable model adjusting for age, sex, study area, education, smoking, and current alcohol consumption, each 1 kg/m(2) increase in BMI was associated with a 19% (OR: 1.19, 95% confidence interval [CI]: 1.17-1.21) increase in hypertension risk. We selected 6 single-nucleotide polymorphisms (P<1.0x10(-5)) associated with BMI by genome-wide screening using linear regression and created 6 types of GRS. We demonstrated that each standard-deviation increase in BMI GRS was associated with a 5% to 6% (OR: 1.05-1.06) increased risk of hypertension (all P<.05). Using BMI GRS as the IV, we found a causal relationship between BMI and hypertension (OR: 1.13-1.26, all P<.05 except weighted GRS [n=6]).Using Mendelian randomization, we found that obesity is causally associated with hypertension. This information will have important public health implications, supporting evidence that obesity-reduction programs will reduce the incidence of hypertension.",2018,6
"Burgess, Stephen; Ference, Brian A.; Staley, James R.; Freitag, Daniel F.; Mason, Amy M.; Nielsen, Sune F.; Willeit, Peter; Young, Robin; Surendran, Praveen; Karthikeyan, Savita; Bolton, Thomas R.; Peters, James E.; Kamstrup, Pia R.; Tybjaerg-Hansen, Anne; Benn, Marianne; Langsted, Anne; Schnohr, Peter; Vedel-Krogh, Signe; Kobylecki, Camilla J.; Ford, Ian; Packard, Chris; Trompet, Stella; Jukema, J. Wouter; Sattar, Naveed; Di Angelantonio, Emanuele; Saleheen, Danish; Howson, Joanna M. M.; Nordestgaard, Borge G.; Butterworth, Adam S.; Danesh, John","Association of LPA Variants With Risk of Coronary Disease and the Implications for Lipoprotein(a)-Lowering Therapies A Mendelian Randomization Analysis","JAMA CARDIOLOGY","IMPORTANCE Human genetic studies have indicated that plasma lipoprotein(a) (Lp[a]) is causally associated with the risk of coronary heart disease (CND), but randomized trials of several therapies that reduce Lp(a) levels by 25% to 35% have not provided any evidence that lowering Lp(a) level reduces CHD risk. OBJECTIVE To estimate the magnitude of the change in plasma Lp(a) levels needed to have the same evidence of an association with CHD risk as a 38.67-mg/dL (ie, 1-mmol/L) change in low-density lipoprotein cholesterol (LDL-C) level, a change that has been shown to produce a clinically meaningful reduction in the risk of CHD. DESIGN, SETTING, AND PARTICIPANTS A mendelian randomization analysis was conducted using individual participant data from 5 studies and with external validation using summarized data from 48 studies. Population-based prospective cohort and case-control studies featured 20 793 individuals with CHD and 27 540 controls with individual participant data, whereas summarized data included 62 240 patients with CHD and 127 299 controls. Data were analyzed from November 2016 to March 2018. EXPOSURES Genetic LPA score and plasma Lp(a) mass concentration. MAIN OUTCOMES AND MEASURES Coronary heart disease. RESULTS Of the included study participants. 53% were men, all were of white European ancestry, and the mean age was 57.5 years. The association of genetically predicted Lp(a) with CHD risk was linearly proportional to the absolute change in Lp(a) concentration. A 10-mg/dL lower genetically predicted Lp(a) concentration was associated with a 5.8% lower CHD risk (odds ratio [OR], 0.942; 95% CI, 0.933-0.951; P = 3 x 10(-37)), whereas a 10-mg/dL lower genetically predicted LDL-C level estimated using an LDL-C genetic score was associated with a 14.5% lower CHD risk (OR, 0.855; 95% CI, 0.818-0.893; P = 2 x 10(-17)). Thus, a 101.5-mg/dL change (95% CI, 71.0-137.0) in Lp(a) concentration had the same association with CHD risk as a 38.67-mg/dL change in LDL-C level. The association of genetically predicted Lp(a) concentration with CHD risk appeared to be independent of changes in LDL-C level owing to genetic variants that mimic the relationship of statins, PCSK9 inhibitors, and ezetimibe with CHD risk. CONCLUSIONS AND RELEVANCE The clinical benefit of lowering Lp(a) is likely to be proportional to the absolute reduction in Lp(a) concentration. Large absolute reductions in Lp(a) of approximately 100 mg/dL may be required to produce a clinically meaningful reduction in the risk of CHD similar in magnitude to what can be achieved by lowering LDL-C level by 38.67 mg/dL (ie, 1 mmol/L).",2018,6
"Zanetti, Daniela; Tikkanen, Emmi; Gustafsson, Stefan; Priest, James R.; Burgess, Stephen; Ingelsson, Erik","Birthweight, Type 2 Diabetes Mellitus, and Cardiovascular Disease Addressing the Barker Hypothesis With Mendelian Randomization","CIRCULATION-GENOMIC AND PRECISION MEDICINE","BACKGROUND: Low birthweight has been associated with a higher risk of hypertension, type 2 diabetes mellitus (T2D), and cardiovascular disease. The Barker hypothesis posits that intrauterine growth restriction resulting in lower birthweight is causal for these diseases, but causality is difficult to infer from observational studies. METHODS: We performed regression analyses to assess associations of birthweight with cardiovascular disease and T2D in 237 631 individuals from the UK Biobank. Further, we assessed the causal relationship of such associations using Mendelian randomization. RESULTS: In the observational analyses, birthweight showed inverse associations with systolic and diastolic blood pressure (beta, -0.83 and -0.26; per raw unit in outcomes and SD change in birthweight; 95% confidence interval [CI], -0.90 to -0.75 and -0.31 to -0.22, respectively), T2D (odds ratio, 0.83; 95% CI, 0.79-0.87), lipid-lowering treatment (odds ratio, 0.84; 95% CI, 0.81-0.86), and coronary artery disease (hazard ratio, 0.85; 95% CI, 0.78-0.94), whereas the associations with adult body mass index and body fat (beta, 0.04 and 0.02; per SD change in outcomes and birthweight; 95% CI, 0.03-0.04 and 0.01-0.02, respectively) were positive. The Mendelian randomization analyses indicated inverse causal associations of birthweight with low-density lipoprotein cholesterol, 2-hour glucose, coronary artery disease, and T2D and positive causal association with body mass index but no associations with blood pressure. CONCLUSIONS: Our study indicates that lower birthweight, used as a proxy for intrauterine growth retardation, is causally related with increased susceptibility to coronary artery disease and T2D. This causal relationship is not mediated by adult obesity or hypertension.",2018,6
"Frayling, Timothy M.; Stoneman, Charli E.","Mendelian randomisation in type 2 diabetes and coronary artery disease","CURRENT OPINION IN GENETICS & DEVELOPMENT","Type 2 diabetes, coronary artery disease and hypertension are associated with anthropometric and biomarker traits, including waist-to-hip-ratio, body mass index and altered glucose and insulin levels. Clinical trials, for example of weight-loss interventions, show these factors are causal, but lifelong impact of subtle changes in body mass index and body fat distribution are less clear. The use of human genetics can quantify the causal effects of long-term exposure to subtle changes of modifiable risk factors. Mendelian randomisation (MR) uses human genetic variants associated with the risk factor to quantify the relationship between risk factor and disease outcome. The last two years have seen an increase in the number of MR studies investigating the relationship between anthropometric traits and metabolic diseases. This review provides an overview of these recent MR studies in relation to type 2 diabetes, coronary artery disease and hypertension. MR provides evidence for causal associations of waist-to-hip-ratio, body mass index and altered glucose levels with type 2 diabetes, coronary artery disease and hypertension.",2018,6
"Larsson, Susanna C.; Burgess, Stephen; Michaelsson, Karl","Serum magnesium levels and risk of coronary artery disease: Mendelian randomisation study","BMC MEDICINE","Background: Observational studies have shown that serum magnesium levels are inversely associated with risk of cardiovascular disease, but whether this association is causal is unknown. We conducted a Mendelian randomisation study to investigate whether serum magnesium levels may be causally associated with coronary artery disease (CAD). Methods: This Mendelian randomisation analysis is based on summary-level data from the CARDIoGRAMplusC4D consortium's 1000 Genomes-based genome-wide association meta-analysis of 48 studies with a total of 60,801 CAD cases and 123,504 non-cases. Six single-nucleotide polymorphisms associated with serum magnesium levels at genome-wide significance were used as instrumental variables. Results: A genetic predisposition to higher serum magnesium levels was inversely associated with CAD. In conventional Mendelian randomisation analysis, the odds ratio of CAD was 0.88 (95% confidence interval [CI] 0.78 to 0.99; P = 0.03) per 0.1-mmol/L (about 1 standard deviation) increase in genetically predicted serum magnesium levels. Results were consistent in sensitivity analyses using the weighted median and heterogeneity-penalised model averaging methods, with odds ratios of 0.84 (95% CI 0.72 to 0.98; P = 0.03) and 0.83 (95% CI 0.71 to 0.96; P = 0.02), respectively. Conclusions: This study based on genetics provides evidence that serum magnesium levels are inversely associated with risk of CAD. Randomised controlled trials elucidating whether magnesium supplementation lowers the risk of CAD, preferably in a setting at higher risk of hypomagnesaemia, are warranted.",2018,6
"Zhang, Xue; Lv, Wan-Qiang; Qiu, Bo; Zhang, Li-Jun; Qin, Jian; Tang, Feng-Juan; Wang, Hai-Tao; Li, Hua-Jie; Hao, Ya-Rong","Assessing causal estimates of the association of obesity-related traits with coronary artery disease using a Mendelian randomization approach","SCIENTIFIC REPORTS","Obesity-related traits have been associated with coronary artery disease (CAD) in observational studies, but these associations may be biased by confounding factors and reverse causation. In this study, we specifically conducted two-sample Mendelian randomization (MR) analyses to overcome these limitations and test the associations of obesity-related traits (other than body mass index (BMI)) (n = 322,154) with CAD (22,233 cases and 64,762 controls) by using summary-level data from previous studies. The methods utilized to estimate these associations included the inverse-variance weighted method, the weighted median method and MR-Egger regression. Our results supported causal effects of BMI, hip circumference (HC), waist circumference (WC), and waist-hip ratio (WHR) on CAD. The associations of BMI-adjusted HC and WC with CAD were reversed, unlike that of WHR. In MR analyses excluding overlapping single nucleotide polymorphisms (SNPs) from obesity-related traits, the associations of these traits with CAD were preserved. The associations of BMI-adjusted HC and WC with CAD require further investigation, as collider stratification may be occurring. Additionally, central adiposity (measured by WHR) separated from general adiposity (measured by BMI) and general adiposity might pose similar risks for CAD. In clinical practice, physicians should pay attention to the potential effects of different obesity-related traits on CAD.",2018,6
